feature,importance
年龄,0.09366642873784041
心电图合并_窦性心律及异常,0.05698946897765829
总胆固醇,0.05464725281954547
空腹血糖MMOL,0.054477187856950535
腰围,0.051584389398733665
体质指数,0.04849523262390273
甘油三酯,0.04702517928934366
血清谷草转氨酶,0.04678864855461546
血清谷丙转氨酶,0.04453752054202568
收缩压,0.0405278221905652
既往史-高血压_有,0.040120551850808976
既往史-高血压_无,0.03743895335267326
舒张压,0.03381575301700096
健康评价合并_体检无异常 nan nan nan nan nan nan,0.03296934877625883
心电图合并_心肌缺血/损伤/梗死征象,0.021892999919637595
饮食习惯_荤素均衡,0.01535010813725021
心电图合并_心室/心房肥大或负荷过重征象,0.013349698264643202
饮食习惯_素食为主,0.012847176322930708
心电图合并_传导系统障碍,0.012354720534185229
心电图合并_其他心电图异常或描述不清,0.012068132453281267
